//ENEMY,X座標,Y座標,自機の位置からZ座標
//WALL,X座標,Y座標,自機の位置からZ座標,Xスケール,Yスケール,Zスケール
//REPEAT_ENEMY パラ1(個数),パラ2(X), パラ3(Y), パラ4(Z),  パラ5(X間隔), パラ6(Y間隔), パラ7(Z間隔)

WAIT,120,,
ENEMY,6,8,300

WAIT,30,,
ENEMY,-6,3,300

WAIT,30,,
ENEMY,5,-5,300

WAIT,30,,
WALL,10,0,300,5,5,1
ENEMY,-2,-4,300

WAIT,30,,
ENEMY,0,3,300

WAIT,30,,
ENEMY,6,8,300

WAIT,30,,
ENEMY,-6,3,300

WAIT,30,,
ENEMY,7,-5,300

WAIT,30,,
ENEMY,-4,-4,300

WAIT,30,,
REPEAT_ENEMY,3,-2,3,300,5,0,0


WAIT,30,,
WALL,-10,0,300,5,5,1
REPEAT_ENEMY,5,0,-10,300,0,5,0

WAIT,30,,
REPEAT_ENEMY,5,10,-10,300,0,5,0
REPEAT_ENEMY,3,0,0,300,5,0,0

WAIT,30,,
WALL,0,0,300,5,5,1

WAIT,30,,
WALL,-10,0,300,5,5,1
WALL,10,0,300,5,5,1






